,Origin_Id,Origin Station Complex Name,Origin Latitude,Origin Longitude,Destination_Id,Destination Station Complex Name,Destination Latitude,Destination Longitude,Origin Point,Destination Point,Estimated_Total_Ridership
487,610,"Grand Central-42 St (S,4,5,6,7)",40.751992,-73.977359,628,"Fulton St (A,C,J,Z,2,3,4,5)",40.710089,-74.007838,POINT (-73.977359 40.751992),POINT (-74.007838 40.710089),245087.1141
905,628,"Fulton St (A,C,J,Z,2,3,4,5)",40.710089,-74.007838,610,"Grand Central-42 St (S,4,5,6,7)",40.751992,-73.977359,POINT (-74.007838 40.710089),POINT (-73.977359 40.751992),240975.272
110,611,"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",40.755746,-73.987581,610,"Grand Central-42 St (S,4,5,6,7)",40.751992,-73.977359,POINT (-73.987581 40.755746),POINT (-73.977359 40.751992),197524.5024
226,610,"Grand Central-42 St (S,4,5,6,7)",40.751992,-73.977359,611,"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",40.755746,-73.987581,POINT (-73.977359 40.751992),POINT (-73.987581 40.755746),190802.5125
8,610,"Grand Central-42 St (S,4,5,6,7)",40.751992,-73.977359,602,"14 St-Union Sq (L,N,Q,R,W,4,5,6)",40.735066,-73.990416,POINT (-73.977359 40.751992),POINT (-73.990416 40.735066),183850.706
19,611,"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",40.755746,-73.987581,624,"Chambers St (A,C)/WTC (E)/Park Pl (2,3)/Cortlandt (R,W)",40.712603,-74.009552,POINT (-73.987581 40.755746),POINT (-74.009552 40.712603),131818.7955
774,611,"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",40.755746,-73.987581,628,"Fulton St (A,C,J,Z,2,3,4,5)",40.710089,-74.007838,POINT (-73.987581 40.755746),POINT (-74.007838 40.710089),130932.1419
641,611,"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",40.755746,-73.987581,602,"14 St-Union Sq (L,N,Q,R,W,4,5,6)",40.735066,-73.990416,POINT (-73.987581 40.755746),POINT (-73.990416 40.735066),128762.3686
123,611,"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",40.755746,-73.987581,614,"59 St-Columbus Circle (A,B,C,D,1)",40.768272,-73.981833,POINT (-73.987581 40.755746),POINT (-73.981833 40.768272),128657.0886
822,610,"Grand Central-42 St (S,4,5,6,7)",40.751992,-73.977359,397,"86 St (4,5,6)",40.779492,-73.955589,POINT (-73.977359 40.751992),POINT (-73.955589 40.779492),123856.7105
